freq, MHz	val1	val2	val3	unit
0,0681	22,2950			dBuV
0,0682	26,2308			dBuV
0,0683	28,4422			dBuV
0,0684	28,0562			dBuV
0,0685	25,2646			dBuV
0,0686	23,3054			dBuV
0,0687	28,7439			dBuV
0,0688	22,2324			dBuV
0,0689	26,9616			dBuV
0,0690	25,0205			dBuV
0,0691	23,2608			dBuV
0,0692	22,5774			dBuV
0,0693	23,5607			dBuV
0,0694	22,3361			dBuV
0,0695	26,0793			dBuV
0,0696	28,8833			dBuV
0,0697	25,9233			dBuV
0,0698	25,7353			dBuV
0,0699	21,2779			dBuV
0,0700	25,4994			dBuV
0,0701	19,1207			dBuV
0,0702	28,0622			dBuV
0,0703	22,3641			dBuV
0,0704	25,9950			dBuV
0,0705	24,4933			dBuV
0,0706	22,0981			dBuV
0,0707	22,0563			dBuV
0,0708	23,9571			dBuV
0,0709	22,1806			dBuV
0,0710	24,6215			dBuV
0,0711	19,6893			dBuV
0,0712	21,0062			dBuV
0,0713	22,7901			dBuV
0,0714	24,7248			dBuV
0,0715	21,0312			dBuV
0,0716	23,7709			dBuV
0,0717	26,4898			dBuV
0,0718	20,0925			dBuV
0,0719	23,6307			dBuV
0,0720	25,4362			dBuV
0,0721	22,8018			dBuV
0,0722	24,8021			dBuV
0,0723	21,3176			dBuV
0,0724	24,2479			dBuV
0,0725	30,3746			dBuV
0,0726	23,3384			dBuV
0,0727	29,7448			dBuV
0,0728	24,4007			dBuV
0,0729	24,1600			dBuV
0,0730	24,5983			dBuV
0,0731	25,6430			dBuV
0,0732	19,7454			dBuV
0,0733	20,3245			dBuV
0,0734	26,4183			dBuV
0,0735	22,5734			dBuV
0,0736	25,9980			dBuV
0,0737	27,9691			dBuV
0,0738	26,8051			dBuV
0,0739	20,1833			dBuV
0,0740	19,1827			dBuV
0,0741	22,7392			dBuV
0,0742	23,0213			dBuV
0,0743	24,2124			dBuV
0,0744	23,7007			dBuV
0,0745	18,4986			dBuV
0,0746	23,3443			dBuV
0,0747	19,4551			dBuV
0,0748	20,8933			dBuV
0,0749	19,1307			dBuV
0,0750	21,6359			dBuV
0,0751	21,8981			dBuV
0,0752	19,8553			dBuV
0,0753	20,2859			dBuV
0,0754	20,5555			dBuV
0,0755	23,6822			dBuV
0,0756	22,1271			dBuV
0,0757	24,1963			dBuV
0,0758	25,7774			dBuV
0,0759	22,8142			dBuV
0,0760	24,7411			dBuV
0,0761	22,0999			dBuV
0,0762	26,2636			dBuV
0,0763	25,3142			dBuV
0,0764	20,9573			dBuV
0,0765	18,3629			dBuV
0,0766	22,4265			dBuV
0,0767	27,2778			dBuV
0,0768	23,8687			dBuV
0,0769	23,1497			dBuV
0,0770	23,8556			dBuV
0,0771	23,9409			dBuV
0,0772	21,7653			dBuV
0,0773	21,3136			dBuV
0,0774	22,5931			dBuV
0,0775	24,7817			dBuV
0,0776	19,7068			dBuV
0,0777	25,7389			dBuV
0,0778	23,2794			dBuV
0,0779	23,3893			dBuV
0,0780	24,8268			dBuV
0,0781	23,4107			dBuV
0,0782	23,1020			dBuV
0,0783	23,9972			dBuV
0,0784	16,1866			dBuV
0,0785	21,4793			dBuV
0,0786	24,9727			dBuV
0,0787	23,2909			dBuV
0,0788	20,6290			dBuV
0,0789	23,4430			dBuV
